microns,Back,Si,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Kr,Rb,Sr,HgL,,Compton,elastic,sum,Flux0,Flux1
        390.0000000000000,6514.138,-42337.08,-5169.18,-1699.955,1969.132,-599.6734,362.446,-14.19783,5.176466,11.16569,-1.96737,304.9741,-0.1578464,13.74296,366.1883,1.619429,17.89509,-2.205485,-1.14667,8.809352,13.96555,,2669347,544888.3,-760.7799,   3.456648E+08,   2.135620E+08
        400.0000000000000,7104.548,-30562.37,-6472.826,-3252.927,1846.601,25.90258,198.3616,-13.85366,-23.84215,-16.36995,4.21172,276.6631,0.7847651,10.05037,393.1241,-0.6432263,13.53217,-0.5679264,-3.360417,4.983902,12.08762,,2714488,552443.4,-1261.708,   3.456648E+08,   2.134219E+08
        410.0000000000000,5647.115,-13238.78,-4906.978,-678.3415,1192.207,-189.7752,149.22,-27.98226,-9.650468,7.964984,-15.23619,333.0788,1.226646,16.26194,378.367,2.136956,19.74573,1.07075,-0.6369491,8.946789,24.1053,,2724604,581414.8,-603.2374,   3.456648E+08,   2.130164E+08
        420.0000000000000,7184.428,-59428.79,-6176.147,-2251.074,2517.506,-904.0258,240.3265,-52.56124,-8.281976,-10.3637,-13.72578,329.2927,1.963036,21.85715,349.4885,-0.6795022,17.2342,-2.961031,-0.02283384,5.512325,6.994822,,2719525,568637.9,-1077.326,   3.456648E+08,   2.136372E+08
        430.0000000000000,7089.251,-49201.83,-5969.716,-1450.694,941.3197,-260.7348,41.27959,-35.73636,-43.37846,1.694835,-7.698317,297.4094,-2.97336,14.83371,361.7708,-2.574336,12.00299,-1.595089,1.192834,4.092308,22.87136,,2800771,568435.2,-929.0409,   3.456648E+08,   2.132016E+08
        440.0000000000000,6833.427,-23613.96,-4877.588,-4375.32,2358.2,-614.8118,231.5029,-32.58163,-3.705245,-9.029025,-10.27406,311.3733,-0.1523372,19.10429,400.7033,-0.1451985,17.77261,0.7637204,-0.6275579,4.75218,17.76,,2803677,623314.5,-1151.211,   3.456648E+08,   2.129552E+08
        450.0000000000000,6611,-71144.83,-1901.904,-2488.144,1646.939,-280.8522,313.6572,-22.72874,-17.57027,-2.793837,-5.572401,301.0377,-3.34116,17.65573,380.4792,-3.666305,16.68552,-2.826298,0.2717642,5.413913,17.30169,,2791982,564612.3,-901.5686,   3.456648E+08,   2.130480E+08
        460.0000000000000,7464.651,-73855.34,-4176.501,-1698.714,2298.975,-519.6922,626.1379,-35.4304,-27.20298,-15.89329,-13.69886,305.4207,-4.178712,11.97927,415.0133,-3.021967,15.67545,-2.762445,-2.740281,7.435962,15.58462,,2803210,588464.8,-1295.072,   3.456648E+08,   2.131822E+08
        470.0000000000000,7211.836,-27215.28,-5026.125,-4366.266,2745.56,-342.2309,208.5658,-30.63833,-27.97146,-15.6179,5.874092,281.2652,5.76554,7.949269,404.6872,-2.133289,23.71494,-1.529237,-1.936015,4.91827,10.80232,,2892260,601287,-839.9368,   3.456648E+08,   2.129952E+08
        480.0000000000000,6642.535,-59891.16,-5328.941,-1383.296,2231.462,-150.1332,257.4625,-30.03405,-33.29155,4.679093,10.92834,277.4918,0.07896466,17.62612,387.9623,2.178123,20.64176,-2.978767,-2.229512,3.509987,18.99331,,2900078,586089.1,-684.9896,   3.456648E+08,   2.125283E+08
        490.0000000000000,7698.259,-69276.37,-6910.217,-2347.214,1857.377,-710.2967,206.8685,-37.07259,-15.95656,-15.98913,14.73493,288.5362,-5.193643,7.404216,414.8715,-0.3675499,22.55437,-6.22872,-2.940495,4.864803,14.12083,,2875465,579967.9,-1277.805,   3.456648E+08,   2.127467E+08
        500.0000000000000,7794.998,-38648.02,-7041.911,-2192.225,714.4136,-209.6346,-275.0476,-81.08274,20.88503,5.482849,-9.04145,241.9969,-5.453887,12.44136,415.1436,-3.59499,18.76526,-2.183584,-4.629992,2.846949,15.38411,,2885400,608884.4,-1055.758,   3.456648E+08,   2.121997E+08
        510.0000000000000,7595.62,-63571.79,-3828.162,-3261.141,1680.983,-465.6899,-69.04398,-53.68709,-33.28054,4.528174,0.1397309,302.1479,-5.838025,17.72287,399.605,-2.284678,22.28422,-5.135377,-1.016506,7.598455,14.3357,,2915321,611629.1,-1099.818,   3.456648E+08,   2.128620E+08
        520.0000000000000,7796.302,-60395.9,-5198.923,-3113.49,1382.704,-647.2283,4.628615,-52.02669,-2.527303,-10.92968,-10.74513,282.5904,-4.239811,14.1931,420.4724,-1.906779,20.43816,-3.566748,-4.73044,7.641386,20.91229,,2922748,610514.3,-1307.434,   3.456648E+08,   2.125603E+08
        530.0000000000000,7652.917,-72942.05,-5887.117,-3095.958,1963.872,-196.5076,-231.5314,-75.34052,-11.57885,-0.1426016,-17.38128,278.9805,-6.433556,28.33338,406.2984,0.1327864,24.15172,-3.571084,-2.135429,5.018679,16.92257,,2946258,631399.5,-953.2889,   3.456648E+08,   2.119780E+08
        540.0000000000000,8295.232,-45471.74,-6993.843,-3297.449,1435.168,-18.24231,-258.0471,-37.99844,-31.27044,-9.76907,-13.75199,279.3428,-5.499979,15.65399,424.8768,0.6478981,29.53901,-5.629348,-0.8547179,2.405538,2.725882,,2953844,623637.1,-1191.784,   3.456648E+08,   2.125667E+08
        550.0000000000000,7312.17,-69320.53,-5441.101,-2269.78,1848.637,-172.3364,-98.65531,-49.24956,-19.16372,9.833793,-3.436107,292.4366,-5.52639,17.76598,427.7393,1.085869,20.55566,-2.044744,-2.433973,1.903008,12.41854,,3027457,620560.5,-704.2667,   3.456648E+08,   2.124786E+08
        560.0000000000000,8275.655,-74970.22,-7653.077,-2299.829,622.8575,-294.8861,-238.4641,-64.63189,-6.020082,-2.521336,-10.8837,289.2502,-8.287477,21.67879,417.4696,-2.534591,23.44284,-2.191493,-4.240096,0.7420381,12.5504,,3055304,649096.6,-1271.291,   3.456648E+08,   2.132128E+08
        570.0000000000000,7960.823,-64063.97,-6152.059,-3013.337,1894.127,-916.1042,-17.58902,-51.92218,-40.94202,8.053978,-1.367818,291.8431,-5.732498,18.45363,404.4227,-0.8925042,19.41183,-4.649245,-3.189198,6.161613,21.14817,,2928408,625889.4,-1028.836,   3.456648E+08,   2.121298E+08
        580.0000000000000,8272.234,-74854.45,-6316.821,-3686.676,1115.018,-601.3845,-155.483,-55.39514,-17.9821,13.16323,-3.077888,232.6885,-9.297298,11.32919,414.5425,-0.6190629,23.63243,-5.373387,-1.686919,12.46338,16.24424,,3062284,601777.3,-1213.086,   3.456648E+08,   2.124076E+08
        590.0000000000000,7878.744,-34751.81,-3630.573,-3494.818,996.8214,-565.4971,-168.2366,-20.2677,-28.94119,8.257162,-9.661128,276.669,-9.036834,19.55453,442.3672,-2.007787,20.8355,-2.052533,-1.252049,4.817438,14.51985,,3073906,689229.9,-779.3703,   3.456648E+08,   2.118011E+08
        600.0000000000000,7593.683,-28110.42,-4237.643,-2325.218,892.3946,-509.0043,-5.938624,-51.56025,-4.792632,-17.30995,8.972466,259.3261,0.8137448,19.54998,427.2074,-1.983253,30.38515,-1.727284,-3.858933,4.260855,16.08205,,3101795,649313.2,-1205.367,   3.456648E+08,   2.130156E+08
        610.0000000000000,7179.678,-39615.71,-6216.592,-2390.272,1749.439,-448.1292,-170.2485,-43.32641,-12.53985,-2.519757,-6.680897,254.9437,10.38669,26.30099,445.1272,2.641389,21.67829,1.034281,-2.48564,10.33536,12.93512,,3042777,616571.2,-738.4754,   3.456648E+08,   2.120714E+08
        620.0000000000000,7563.936,-15528.75,-6389.352,-466.2961,74.96777,-83.0221,-110.3037,-49.66589,0.349878,-1.817236,-7.702919,275.9785,4.663088,19.17175,419.6018,4.137299,25.18195,-4.669935,-2.824747,5.268754,17.65672,,3103257,643489.4,-844.0608,   3.456648E+08,   2.117693E+08
        630.0000000000000,7864.499,-67714.98,-2891.575,-3489.289,975.7416,-277.3223,-81.78498,-22.63621,-10.14605,21.6951,-9.639477,289.0495,2.079784,17.35748,427.4611,-1.299661,24.83635,-3.610906,-3.072608,4.454462,8.351637,,3167870,648101.4,-1157.634,   3.456648E+08,   2.121236E+08
        640.0000000000000,8610.833,-75992.97,-6698.214,-5440.962,2692.895,-673.3947,-139.5503,-31.66212,-8.71547,12.62819,0.2149867,243.242,-6.620759,14.07176,452.8292,-0.4006066,22.20514,-4.339017,-3.876319,4.993673,8.022645,,3060508,683104.4,-1088.782,   3.456648E+08,   2.124473E+08
        650.0000000000000,8983.707,-105626.1,-6468.261,-3049.78,-71.52452,-341.1399,-358.3916,-64.5686,-6.433411,-11.53267,-6.080909,265.5529,-0.2544838,17.22181,418.5717,-0.7173682,25.36349,-3.529609,-5.188814,3.627698,14.66783,,3157154,671665.6,-1545.122,   3.456648E+08,   2.116368E+08
        660.0000000000000,8202.229,-86082.1,-5093.767,-3317.381,857.7214,-648.9945,-83.04324,-39.8195,-34.98772,-6.047692,-10.42681,281.0761,-1.899129,13.47445,478.3873,-0.1909781,18.8231,-3.588145,-3.472174,1.020692,29.68052,,3243578,656731.7,-1315.116,   3.456648E+08,   2.118276E+08
        670.0000000000000,8877.37,-29875.27,-6121.275,-4120.074,1335.81,-230.8004,-365.0479,-40.1151,-18.57826,6.904919,-15.33616,261.6712,-6.508393,18.28368,452.2235,-1.455166,25.49401,-2.869876,-2.274889,10.85684,8.320604,,3142800,648127.9,-1165.199,   3.456648E+08,   2.116497E+08
        680.0000000000000,8411.667,-80011.46,-7220.438,-3271.59,1661.079,-380.0562,-219.41,-31.24182,-24.05166,1.779361,-3.725242,256.5201,-5.532015,21.89912,429.4638,0.4915489,39.01728,-3.223624,-4.649951,7.463593,1.888735,,3250806,717936.3,-990.0654,   3.456648E+08,   2.114056E+08
        690.0000000000000,7697.341,-86049.95,-6114.893,-2874.59,1347.92,-268.7527,-239.7925,-39.92548,-0.6224027,11.83145,-5.719827,260.4092,3.080729,20.50121,465.9837,-1.849024,26.00407,-0.3936445,-0.2124424,3.402723,14.04219,,3232788,653922.6,-771.5406,   3.456648E+08,   2.118958E+08
        700.0000000000000,8657.986,-29760.56,-6334.58,-3782.034,1654.76,-411.2694,-163.6965,-77.85184,-32.68666,-6.142186,-3.591465,238.0017,-5.142445,20.03391,459.0244,0.1403914,32.2449,-2.781875,-5.183203,3.22456,1.836516,,3214871,694293.4,-1193.783,   3.456648E+08,   2.115708E+08
        710.0000000000000,8210.171,-22905.21,-6738.176,-2064.78,1346.367,-794.2427,-92.06911,-58.10282,-9.680326,-3.626741,-0.8142487,224.1854,5.604854,15.34376,419.8922,0.7588769,27.97995,-5.962705,-2.889979,11.89733,16.14496,,3232583,694041.4,-1138.612,   3.456648E+08,   2.120868E+08
        720.0000000000000,8743.762,-51835.75,-5496.685,-2766.39,757.2368,-337.9148,-275.3232,-52.81476,-28.97336,-8.535408,-12.48707,265.3925,2.09563,27.48412,454.6797,-0.5083943,24.29963,-3.892072,-1.542555,5.562993,19.28786,,3239062,680877.8,-1256.805,   3.456648E+08,   2.114828E+08
        730.0000000000000,7125.385,-24720.49,-6507.648,-2484.399,2089.252,-309.0696,-151.8367,-31.99203,5.53277,1.568658,2.210627,250.8517,3.237053,18.10584,443.3916,3.137423,31.75434,-2.745142,1.013347,7.563515,17.12456,,3317086,658681.2,-418.8501,   3.456648E+08,   2.115226E+08
